Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
day7esther_770aefd6	mc	Give me just a minute.	game/story/weekend/sunday.rpy	60	mc "[what]"
day7esther_b808aff4	n	You close the door and change out of your pajamas, brush your teeth and put on your shoes.	game/story/weekend/sunday.rpy	63	n "[what]"
day7esther_7e7ed60e	n	You open the door once more. Miss Esther is still waiting.	game/story/weekend/sunday.rpy	64	n "[what]"
day7esther_8252d3e8	e	Doctor, fashionable as always. Shall we head out?	game/story/weekend/sunday.rpy	67	e "[what]"
day7esther_f7b5ce6c	mc	Yes, I'm ready now.	game/story/weekend/sunday.rpy	69	mc "[what]"
day7esther_97abd01b	e	Excellent!	game/story/weekend/sunday.rpy	72	e "[what]"
day7esther_3ff19d06	n	Miss Esther guides you down the hall, out of residential.	game/story/weekend/sunday.rpy	77	n "[what]"
day7esther_a28c93f6	e	Most parts of recreation are closed on Sundays. I suppose it's to give everyone a day off.	game/story/weekend/sunday.rpy	78	e "[what]"
day7esther_a9faabc4	e	Rob and Heath, for example. They're usually on a 24/7 recreational schedule, but...	game/story/weekend/sunday.rpy	81	e "[what]"
day7esther_8e46f098	e	Sunday affords them a day off.	game/story/weekend/sunday.rpy	83	e "[what]"
day7esther_53135768	mc	That's good.	game/story/weekend/sunday.rpy	85	mc "[what]"
day7esther_e215bca5	e	Anyway, Doctor, I just wanted to invite you out, because...	game/story/weekend/sunday.rpy	87	e "[what]"
day7esther_5fe1e71d	e	...well, we don't get all too much time to chat between all the places we have to go during your shift.	game/story/weekend/sunday.rpy	89	e "[what]"
day7esther_842f38e3	e	This way, we can just talk. You and I.	game/story/weekend/sunday.rpy	90	e "[what]"
day7esther_0bae50a6	mc	Uh... yeah.	game/story/weekend/sunday.rpy	92	mc "[what]"
day7esther_f9661533	mc	Where are we headed, anyway?	game/story/weekend/sunday.rpy	93	mc "[what]"
day7esther_9d7fc6c8	e	Oh, just the cafeteria. I figured you might want something to eat.	game/story/weekend/sunday.rpy	96	e "[what]"
day7esther_3a2abf66	mc	Ah, yeah. I am kind of hungry.	game/story/weekend/sunday.rpy	98	mc "[what]"
day7esther_943d9624	e	Great! We're almost there.	game/story/weekend/sunday.rpy	101	e "[what]"
day7esther_24c17a3e	n	You walk into the cafeteria. There's actually quite a few people in here.	game/story/weekend/sunday.rpy	104	n "[what]"
day7esther_f0c89877	n	There's no other cores besides Miss Esther, although that's to be expected with the mostly human fare.	game/story/weekend/sunday.rpy	105	n "[what]"
day7esther_be6e1810	e	Go ahead and grab yourself some food. I'll be here in the corner - not a lot of management rails to follow! Haha.	game/story/weekend/sunday.rpy	108	e "[what]"
day7esther_5008c779	n	You head over to the buffet-style island in the middle of the cafeteria.	game/story/weekend/sunday.rpy	111	n "[what]"
day7esther_4101c6ab	n	It's not very full - it seems a lot of your coworkers are early risers.	game/story/weekend/sunday.rpy	112	n "[what]"
day7esther_3ff427a3	n	You take a look at the food.	game/story/weekend/sunday.rpy	113	n "[what]"
day7esther_efba82b3	extend	 You decide to grab...	game/story/weekend/sunday.rpy	116	extend "[what]" nointeract
day7esther_117effdc	n	You grab a vegetable omelette and take it with you over to Miss Esther.	game/story/weekend/sunday.rpy	118	n "[what]"
day7esther_5123bc72	mc	I wonder where they get the eggs...	game/story/weekend/sunday.rpy	119	mc "[what]"
day7esther_6de6a382	n	You decide not to question it further.	game/story/weekend/sunday.rpy	120	n "[what]"
day7esther_d5891840	n	You scoop some sausages onto your plate.	game/story/weekend/sunday.rpy	122	n "[what]"
day7esther_b62f3f27	mc	Need my protein.	game/story/weekend/sunday.rpy	123	mc "[what]"
day7esther_7267d132	mc	This is probably artificial meat, but...	game/story/weekend/sunday.rpy	124	mc "[what]"
day7esther_80763419	n	You walk over to Miss Esther.	game/story/weekend/sunday.rpy	125	n "[what]"
day7esther_daf68f89	mc	Something sweet to start the day.	game/story/weekend/sunday.rpy	127	mc "[what]"
day7esther_9bb12250	n	You grab the lemon tart and head over to Miss Esther.	game/story/weekend/sunday.rpy	128	n "[what]"
day7esther_9e93baf2	e	Ah, Doctor. Find something you like, I presume?	game/story/weekend/sunday.rpy	131	e "[what]"
day7esther_129f88f0	mc	Yes, I did.	game/story/weekend/sunday.rpy	133	mc "[what]"
day7esther_62de6421	e	Haha. Good, good.	game/story/weekend/sunday.rpy	136	e "[what]"
day7esther_b5975b9e	e	So... how was yesterday?	game/story/weekend/sunday.rpy	138	e "[what]"
day7esther_dd7523ce	mc	Oh, I just stayed in my room and read some books.	game/story/weekend/sunday.rpy	141	mc "[what]"
day7esther_30fa8871	mc	Nothing much happened, honestly.	game/story/weekend/sunday.rpy	142	mc "[what]"
day7esther_7319be62	e	You had a whole campus to explore, and instead you decided to stay inside?	game/story/weekend/sunday.rpy	145	e "[what]"
day7esther_1dee2ee2	e	Well then.	game/story/weekend/sunday.rpy	147	e "[what]"
day7esther_54d4952d	e	Fair enough.	game/story/weekend/sunday.rpy	148	e "[what]"
day7esther_a60db52b	mc	I explored the campus a little. Just wandered, honestly.	game/story/weekend/sunday.rpy	150	mc "[what]"
day7esther_379ecfba	e	Fun! I'm glad you got out, Doctor.	game/story/weekend/sunday.rpy	153	e "[what]"
day7esther_b651bb03	e	Did you leave the section at all?	game/story/weekend/sunday.rpy	154	e "[what]"
day7esther_1806fbb7	mc	Not really. I'm kind of a homebody, so that's sort of out of my comfort zone.	game/story/weekend/sunday.rpy	156	mc "[what]"
day7esther_54d4952d_1	e	Fair enough.	game/story/weekend/sunday.rpy	158	e "[what]"
day7esther_c28ba32c	e	Doctor... I have something important to tell you.	game/story/weekend/sunday.rpy	164	e "[what]"
day7esther_ea815416	e	Please listen carefully.	game/story/weekend/sunday.rpy	165	e "[what]"
day7esther_3501482e	mc	Uh... yes. I'm listening.	game/story/weekend/sunday.rpy	167	mc "[what]"
day7esther_a059539a	e	Do not get too close to the cores in your section.	game/story/weekend/sunday.rpy	169	e "[what]"
day7esther_99e24902	e	It is against your contract to form strong relationships with them.	game/story/weekend/sunday.rpy	170	e "[what]"
day7esther_81f01a9d	e	Of course, friendly banter, speaking outside of working hours... that is fine.	game/story/weekend/sunday.rpy	171	e "[what]"
day7esther_08b0b129	e	But any more than that and it may become an issue.	game/story/weekend/sunday.rpy	172	e "[what]"
day7esther_ed7017d1	e	It won't turn out well for you.	game/story/weekend/sunday.rpy	173	e "[what]"
day7esther_421c64b2	e	Do you understand?	game/story/weekend/sunday.rpy	174	e "[what]"
day7esther_8114a09f	mc	Uh...	game/story/weekend/sunday.rpy	176	mc "[what]"
day7esther_5f8f322b	mc	Yes. I understand, Miss Esther.	game/story/weekend/sunday.rpy	177	mc "[what]"
day7esther_5e2fab40	e	Great! I'm glad we got that sorted out.	game/story/weekend/sunday.rpy	182	e "[what]"
day7esther_e676cf2f	e	Anyway, sorry for dragging down the mood...	game/story/weekend/sunday.rpy	184	e "[what]"
day7esther_1eedf999	n	Miss Esther suddenly goes back to her normal self.	game/story/weekend/sunday.rpy	187	n "[what]"
day7esther_ae7fa152	n	She speaks to you about her work and how she became a Supervisor Core.	game/story/weekend/sunday.rpy	189	n "[what]"
day7esther_20f4e363	n	One of many, she says, though you find it hard to believe there's truly that many at Aperture.	game/story/weekend/sunday.rpy	190	n "[what]"
day7esther_3b8e3d13	e	Supervisor Core XA3. That's me.	game/story/weekend/sunday.rpy	193	e "[what]"
day7esther_2039040f	mc	X-A-3?! You number all the way to the end of the alphabet?	game/story/weekend/sunday.rpy	194	mc "[what]"
day7esther_c080f543	e	Well, many of those codes are being used for other arbitrary reasons, but...	game/story/weekend/sunday.rpy	196	e "[what]"
day7esther_4ed70101	e	Yes, generally, we do. Or we did.	game/story/weekend/sunday.rpy	198	e "[what]"
day7esther_21a26dda	e	I'm not quite sure exactly how many of us are actually still Supervisor Cores, but...	game/story/weekend/sunday.rpy	200	e "[what]"
day7esther_9fa3cfc9	e	That's neither here nor there.	game/story/weekend/sunday.rpy	202	e "[what]"
day7esther_31f2746f	e	Eat! What are you waiting for?	game/story/weekend/sunday.rpy	203	e "[what]"
day7esther_09b733ec	mc	Uhh... I've kind of lost my appetite.	game/story/weekend/sunday.rpy	205	mc "[what]"
day7esther_39822aa6	e	Oh, that's not good. I hope that wasn't my fault.	game/story/weekend/sunday.rpy	208	e "[what]"
day7esther_11fdb519	extend		game/story/weekend/sunday.rpy	211	extend "[what]" nointeract
day7esther_1acad3fa	e	Oh. I'm sorry, Doctor.	game/story/weekend/sunday.rpy	215	e "[what]"
day7esther_3217e0eb	e	Fair enough!	game/story/weekend/sunday.rpy	219	e "[what]"
day7esther_9dafe49b	e	Anyways. Your work is going incredibly well. Management seems to be happy with your reports.	game/story/weekend/sunday.rpy	222	e "[what]"
day7esther_3516d05a	mc	Well, to be honest, the work isn't very hard.	game/story/weekend/sunday.rpy	224	mc "[what]"
day7esther_2e3d8cba	e	True enough, though it's one of the few jobs they only want a human to do...	game/story/weekend/sunday.rpy	226	e "[what]"
day7esther_c09d884c	e	A robotic supervisor is fine, but apparently I'm not effective enough on my own.	game/story/weekend/sunday.rpy	228	e "[what]"
day7esther_35a72f19	mc	Interesting.	game/story/weekend/sunday.rpy	230	mc "[what]"
day7esther_9b5389bc	e	Thinking about it, though, we do sometimes tend to have a... bias towards members of our own species.	game/story/weekend/sunday.rpy	233	e "[what]"
day7esther_91720540	e	I suppose it only makes sense to have a robot-human team working together...	game/story/weekend/sunday.rpy	234	e "[what]"
day7esther_2bacd873	e	It's a good thing I like you, then, right?	game/story/weekend/sunday.rpy	238	e "[what]"
day7esther_11fdb519_1	extend		game/story/weekend/sunday.rpy	241	extend "[what]" nointeract
day7esther_9edd1559	e	I'm glad.	game/story/weekend/sunday.rpy	246	e "[what]"
day7esther_cfea1fe2	mc	Yes, I suppose so.	game/story/weekend/sunday.rpy	249	mc "[what]"
day7plate_df929629	n	You clear your throat and get up to put your plate away.	game/story/weekend/sunday.rpy	255	n "[what]"
day7plate_40abe767	mc	Thanks for inviting me out, Miss Esther, but I'm incredibly tired.	game/story/weekend/sunday.rpy	257	mc "[what]"
day7plate_99c73a47	e	Oh yes, absolutely. Please get some rest.	game/story/weekend/sunday.rpy	260	e "[what]"
day7plate_313d94b7	e	Work starts again tomorrow, after all!	game/story/weekend/sunday.rpy	262	e "[what]"
day7plate_77097848	e	See you then, Doctor.	game/story/weekend/sunday.rpy	264	e "[what]"
day7plate_438fd4df	mc	See you then.	game/story/weekend/sunday.rpy	266	mc "[what]"
day7plate_32e388ff	n	You leave the cafeteria and head back to your room.	game/story/weekend/sunday.rpy	270	n "[what]"
esthershootdown_a6a55ff6	e	Oh, Doctor, you're not -	game/story/weekend/sunday.rpy	276	e "[what]"
esthershootdown_f64d8045	e	You're not insinuating -	game/story/weekend/sunday.rpy	277	e "[what]"
esthershootdown_b2286237	e	I'm terribly sorry, Doctor, but if you're saying what I think you're saying -	game/story/weekend/sunday.rpy	279	e "[what]"
esthershootdown_ce4a064d	e	I'm afraid I just can't reciprocate.	game/story/weekend/sunday.rpy	280	e "[what]"
esthershootdown_ef4faa79	e	For one, I just warned you not to get too close to us...	game/story/weekend/sunday.rpy	282	e "[what]"
esthershootdown_9aef1a41	e	But more importantly, I just... I just don't feel that way about anything... anyone, honestly.	game/story/weekend/sunday.rpy	284	e "[what]"
esthershootdown_d244dbbb	e	I am flattered, though. I hope this won't make working together difficult.	game/story/weekend/sunday.rpy	286	e "[what]"
esthershootdown_5997cfa2	mc	No, I understand, Miss Esther. I apologize.	game/story/weekend/sunday.rpy	289	mc "[what]"
esthershootdown_080a8a63	mc	I won't bring it up again.	game/story/weekend/sunday.rpy	290	mc "[what]"
esthershootdown_cfd9b6a5	e	Thank you, Doctor.	game/story/weekend/sunday.rpy	292	e "[what]"
day7alone_d6a3b454	e	Ah no, I understand. So sorry to bother you, Doctor.	game/story/weekend/sunday.rpy	298	e "[what]"
day7alone_ed8cf184	e	I'll let you be, but...	game/story/weekend/sunday.rpy	299	e "[what]"
day7alone_c8d186c9	e	First...	game/story/weekend/sunday.rpy	304	e "[what]"
day7alone_c28ba32c	e	Doctor... I have something important to tell you.	game/story/weekend/sunday.rpy	305	e "[what]"
day7alone_ea815416	e	Please listen carefully.	game/story/weekend/sunday.rpy	306	e "[what]"
day7alone_3501482e	mc	Uh... yes. I'm listening.	game/story/weekend/sunday.rpy	308	mc "[what]"
day7alone_a059539a	e	Do not get too close to the cores in your section.	game/story/weekend/sunday.rpy	310	e "[what]"
day7alone_99e24902	e	It is against your contract to form strong relationships with them.	game/story/weekend/sunday.rpy	311	e "[what]"
day7alone_81f01a9d	e	Of course, friendly banter, speaking outside of working hours... that is fine.	game/story/weekend/sunday.rpy	312	e "[what]"
day7alone_08b0b129	e	But any more than that and it may become an issue.	game/story/weekend/sunday.rpy	313	e "[what]"
day7alone_ed7017d1	e	It won't turn out well for you.	game/story/weekend/sunday.rpy	314	e "[what]"
day7alone_421c64b2	e	Do you understand?	game/story/weekend/sunday.rpy	315	e "[what]"
day7alone_8114a09f	mc	Uh...	game/story/weekend/sunday.rpy	317	mc "[what]"
day7alone_5f8f322b	mc	Yes. I understand, Miss Esther.	game/story/weekend/sunday.rpy	318	mc "[what]"
day7alone_5e2fab40	e	Great! I'm glad we got that sorted out.	game/story/weekend/sunday.rpy	323	e "[what]"
day7alone_6ef8dce1	e	Anyways, I'll leave you be now - get some rest for work tomorrow!	game/story/weekend/sunday.rpy	326	e "[what]"
day7alone_a2c33375	e	Goodbye, Doctor!	game/story/weekend/sunday.rpy	328	e "[what]"
day7alone_0b7d62c4	mc	Um... goodbye.	game/story/weekend/sunday.rpy	330	mc "[what]"
day7alone_39743636	n	And she's gone, as quickly as she came.	game/story/weekend/sunday.rpy	333	n "[what]"
day7alone_74e9bc6e	n	Did she really only come to give you that warning?	game/story/weekend/sunday.rpy	334	n "[what]"
day7alone_8852d973	n	You feel a chill run down your spine.	game/story/weekend/sunday.rpy	335	n "[what]"
day7alone_15002951	n	You shake it off and think about going back to bed...	game/story/weekend/sunday.rpy	336	n "[what]"
day7alone_1ff24074	n	...but for some reason, it just looks so... uncomfortable.	game/story/weekend/sunday.rpy	337	n "[what]"
day7alone_e36a7a7a	n	Instead, you decide to try to focus your mind on other things.	game/story/weekend/sunday.rpy	339	n "[what]"
day7alone_883b6382	n	You read, sift through your paperwork... not a lot to do when you're holed up in your room like this.	game/story/weekend/sunday.rpy	340	n "[what]"
satend_4e311563	n	It's getting late. What's your plans for tonight?	game/story/weekend/saturdayend.rpy	3	n "[what]"
satend_mc_a18d46ad	n	You decide to just head in for the night.	game/story/weekend/saturdayend.rpy	27	n "[what]"
satend_mc_ed43398c	n	It was fun to explore the facility, though.	game/story/weekend/saturdayend.rpy	28	n "[what]"
satend_mc_49127e40	n	You change into your pajamas and head to bed.	game/story/weekend/saturdayend.rpy	29	n "[what]"
satend_kris_8c510982	n	You enter into the lounge and look around.	game/story/weekend/saturdayend.rpy	36	n "[what]"
satend_kris_07dd4197	n	The place is vibrant. Soft jazz plays over speakers above you and there are many employees milling about.	game/story/weekend/saturdayend.rpy	38	n "[what]"
satend_kris_ced80f35	n	The room itself is warm and inviting, gentle wooden brown and deep red brick.	game/story/weekend/saturdayend.rpy	39	n "[what]"
satend_kris_6aacb24b	n	It's nothing like the rest of Aperture. It feels like you've just stepped into a different world.	game/story/weekend/saturdayend.rpy	40	n "[what]"
satend_kris_f60cbba6	n	On your left, a stage with dark blue curtains looms over the lounge.	game/story/weekend/saturdayend.rpy	41	n "[what]"
satend_kris_c3707130	n	That's most likely where Heath will be holding her "performance".	game/story/weekend/saturdayend.rpy	43	n "[what]"
satend_kris_7f6aeac7	n	The bartender greets you once more.	game/story/weekend/saturdayend.rpy	45	n "[what]"
satend_kris_54aaee62	bar	Welcome back. Here for the open-mic?	game/story/weekend/saturdayend.rpy	46	bar "[what]"
satend_kris_f05d2147	mc	Not really - I'm having dinner with a... friend.	game/story/weekend/saturdayend.rpy	47	mc "[what]"
satend_kris_1ee1bafe	bar	Ah. A friend. The tables are right over that way.	game/story/weekend/saturdayend.rpy	48	bar "[what]"
satend_kris_a64e8bc0	mc	Thanks.	game/story/weekend/saturdayend.rpy	49	mc "[what]"
satend_kris_fe944459	n	You make your way over to the tables facing the stage.	game/story/weekend/saturdayend.rpy	50	n "[what]"
satend_kris_ec722c1d	n	Kris is sitting in the corner. It seems there's a separate area for cores.	game/story/weekend/saturdayend.rpy	51	n "[what]"
satend_kris_45ab6d67	n	The entire section has management rails coming out from the walls.	game/story/weekend/saturdayend.rpy	52	n "[what]"
satend_kris_f97cbf8f	k	Ah, Doctor.	game/story/weekend/saturdayend.rpy	54	k "[what]"
satend_kris_c39dd095	k	Please, sit. I've been looking forward to this.	game/story/weekend/saturdayend.rpy	56	k "[what]"
satend_kris_cf764032	n	You take a seat. There's a plate and a set of silverware in front of you.	game/story/weekend/saturdayend.rpy	57	n "[what]"
satend_kris_44ada175	mc	You got me utensils?	game/story/weekend/saturdayend.rpy	58	mc "[what]"
satend_kris_66746a86	k	Ah. Yes. I asked the waiter to set them up just in case you came. I can't... use forks and such, but I'm aware you have to.	game/story/weekend/saturdayend.rpy	60	k "[what]"
satend_kris_2ac941bc	mc	I can see you got yourself a can of lighter fluid, as well.	game/story/weekend/saturdayend.rpy	61	mc "[what]"
satend_kris_b2fd13a8	k	A distilled variant. I don't drink often. Only on... special occasions.	game/story/weekend/saturdayend.rpy	62	k "[what]"
satend_kris_b3f14f3a	mc	Well, I'm flattered you consider this dinner special.	game/story/weekend/saturdayend.rpy	63	mc "[what]"
satend_kris_3fa13378	k	Of course I do.	game/story/weekend/saturdayend.rpy	65	k "[what]"
satend_kris_10befafb	k	What do you think of the lounge? It's fairly new, I believe.	game/story/weekend/saturdayend.rpy	67	k "[what]"
satend_kris_164c8512	k	I wasn't in this section when I was activated, but this place wasn't here when I was transferred over.	game/story/weekend/saturdayend.rpy	68	k "[what]"
satend_kris_c9cd8ce9	k	Not entirely sure when they put it in, but...	game/story/weekend/saturdayend.rpy	70	k "[what]"
satend_kris_11fdb519	extend		game/story/weekend/saturdayend.rpy	73	extend "[what]" nointeract
satend_kris_43b7ef44	k	Aha, yes, very true.	game/story/weekend/saturdayend.rpy	78	k "[what]"
satend_kris_8c007d6f	mc	So, uh... why'd you invite me out tonight?	game/story/weekend/saturdayend.rpy	79	mc "[what]"
satend_kris_7fc7d8b3		The scene fades to Kris looking at you, lit by candlelight.	game/story/weekend/saturdayend.rpy	91	"[what]"
satend_kris_993900ea	k	Mmm. Quite simple, Doctor.	game/story/weekend/saturdayend.rpy	92	k "[what]"
satend_kris_b4b0beab	k	You're incredibly intriguing. I don't get to know much about you in our day-to-day.	game/story/weekend/saturdayend.rpy	93	k "[what]"
satend_kris_fd6581c7	k	Plus, it's not like we have much time to chat throughout the week, given your busy schedule.	game/story/weekend/saturdayend.rpy	94	k "[what]"
satend_kris_03f20896	k	And, on top of all this, you'll be gone in another week.	game/story/weekend/saturdayend.rpy	95	k "[what]"
satend_kris_56207731	k	I'm simply taking the opportunity I've been given.	game/story/weekend/saturdayend.rpy	96	k "[what]"
satend_kris_ad192466	k	You wouldn't fault me for that, would you?	game/story/weekend/saturdayend.rpy	97	k "[what]"
satend_kris_e5f0cbf7	mc	Of course not. And I think it is very kind of you to invite me out tonight, Kris.	game/story/weekend/saturdayend.rpy	103	mc "[what]"
satend_kris_81b5b6d1	mc	I honestly don't leave my room much. Manufacturing is... exhausting.	game/story/weekend/saturdayend.rpy	104	mc "[what]"
satend_kris_cb7cf481	k	I'm sure. It must be nice to have a break from that fast-paced environment.	game/story/weekend/saturdayend.rpy	107	k "[what]"
satend_kris_6cba1464	mc	Yes, but Miss Esther still keeps me moving.	game/story/weekend/saturdayend.rpy	109	mc "[what]"
satend_kris_f2bb35f8	k	She was like that with the last employee, as well.	game/story/weekend/saturdayend.rpy	111	k "[what]"
satend_kris_68849cde	mc	Whatever happened to my predecessor, anyway?	game/story/weekend/saturdayend.rpy	112	mc "[what]"
satend_kris_96dc44bd	k	No one's really quite sure.	game/story/weekend/saturdayend.rpy	114	k "[what]"
satend_kris_c93a1ce9	k	He just disappeared one day. No one seems to know what happened.	game/story/weekend/saturdayend.rpy	115	k "[what]"
satend_kris_db80eda3	k	Come to think of it, though, Beatrice disappeared around the same time...	game/story/weekend/saturdayend.rpy	117	k "[what]"
satend_kris_e5f72c79	mc	Beatrice?	game/story/weekend/saturdayend.rpy	118	mc "[what]"
satend_kris_24dcc6cd	k	Another core that used to be in our section. She managed the swimming pool.	game/story/weekend/saturdayend.rpy	120	k "[what]"
satend_kris_64ec4c87	mc	Swimming pool?!	game/story/weekend/saturdayend.rpy	121	mc "[what]"
satend_kris_ba91d6ba	k	Yes. It's been shut down since she left... I believe they drained all the water, as well.	game/story/weekend/saturdayend.rpy	123	k "[what]"
satend_kris_7cafccd8	k	It's a shame, really. She was very polite.	game/story/weekend/saturdayend.rpy	124	k "[what]"
satend_kris_35a72f19	mc	Interesting.	game/story/weekend/saturdayend.rpy	125	mc "[what]"
satend_kris_ab0e5f03	k	Enough negative talk, though, Doctor. Let's enjoy ourselves, yes?	game/story/weekend/saturdayend.rpy	128	k "[what]"
satend_kris_bf27ef03	n	The night is exciting - you watch the open-mic performances while conversing with Kris.	game/story/weekend/saturdayend.rpy	130	n "[what]"
satend_kris_601aded3	n	You even get to see Heath on the stage, although you're a little too busy with Kris to pay much attention.	game/story/weekend/saturdayend.rpy	132	n "[what]"
satend_kris_96087e45	n	Heath even makes a surprise appearance, though you're a little too busy with Kris to pay much attention.	game/story/weekend/saturdayend.rpy	134	n "[what]"
satend_kris_568a2b4f	n	He tells you about Camus' teachings about absurdism. It's interesting.	game/story/weekend/saturdayend.rpy	136	n "[what]"
satend_kris_76945845	n	The night comes to a swift end.	game/story/weekend/saturdayend.rpy	137	n "[what]"
satend_kris_8f4a268a	mc	Thank you, Kris. This was incredible.	game/story/weekend/saturdayend.rpy	139	mc "[what]"
satend_kris_a0086826	k	Of course, Doctor. It was a pleasure.	game/story/weekend/saturdayend.rpy	141	k "[what]"
satend_kris_f1b93c4e	k	I... enjoy your company.	game/story/weekend/saturdayend.rpy	142	k "[what]"
satend_kris_c0807d73	k	Now. I believe my systems are malfunctioning, so I should be going.	game/story/weekend/saturdayend.rpy	144	k "[what]"
satend_kris_4652aeae	k	I need to check my coolant levels. I think I'm overheating.	game/story/weekend/saturdayend.rpy	145	k "[what]"
satend_kris_1bf60051	mc	Of course.	game/story/weekend/saturdayend.rpy	146	mc "[what]"
satend_kris_23196c80	k	I will see you on Monday, Doctor.	game/story/weekend/saturdayend.rpy	147	k "[what]"
satend_kris_ef5e876e	n	And with that, he disappears back into the walls behind the lounge.	game/story/weekend/saturdayend.rpy	150	n "[what]"
satend_kris_2f2b0854	n	You get up, thank the bartender and your waiter (even though you didn't order anything), and leave to go to bed.	game/story/weekend/saturdayend.rpy	151	n "[what]"
satend_heath_8c510982	n	You enter into the lounge and look around.	game/story/weekend/saturdayend.rpy	158	n "[what]"
satend_heath_07dd4197	n	The place is vibrant. Soft jazz plays over speakers above you and there are many employees milling about.	game/story/weekend/saturdayend.rpy	160	n "[what]"
satend_heath_ced80f35	n	The room itself is warm and inviting, gentle wooden brown and deep red brick.	game/story/weekend/saturdayend.rpy	161	n "[what]"
satend_heath_6aacb24b	n	It's nothing like the rest of Aperture. It feels like you've just stepped into a different world.	game/story/weekend/saturdayend.rpy	162	n "[what]"
satend_heath_f60cbba6	n	On your left, a stage with dark blue curtains looms over the lounge.	game/story/weekend/saturdayend.rpy	163	n "[what]"
satend_heath_c3707130	n	That's most likely where Heath will be holding her "performance".	game/story/weekend/saturdayend.rpy	164	n "[what]"
satend_heath_7f6aeac7	n	The bartender greets you once more.	game/story/weekend/saturdayend.rpy	166	n "[what]"
satend_heath_54aaee62	bar	Welcome back. Here for the open-mic?	game/story/weekend/saturdayend.rpy	167	bar "[what]"
satend_heath_ab18c3ee	mc	Yes, but I'm not performing. Just watching.	game/story/weekend/saturdayend.rpy	168	mc "[what]"
satend_heath_276b9b9b	bar	You can take a seat at any of the tables over there.	game/story/weekend/saturdayend.rpy	169	bar "[what]"
satend_heath_a64e8bc0	mc	Thanks.	game/story/weekend/saturdayend.rpy	170	mc "[what]"
satend_heath_fe944459	n	You make your way over to the tables facing the stage.	game/story/weekend/saturdayend.rpy	171	n "[what]"
satend_heath_1c663cdd	n	Kris is at a table on the other side of the room. Seems like there's a specific section that management rails go to.	game/story/weekend/saturdayend.rpy	173	n "[what]"
satend_heath_f74970c4	n	It's separated from the rest of the "human" tables.	game/story/weekend/saturdayend.rpy	174	n "[what]"
satend_heath_a65e0227	n	You sit down fairly close to the stage.	game/story/weekend/saturdayend.rpy	175	n "[what]"
